icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
880455,1669347211,VTBD,1669348334,,AIQ3542 ,4810,698,,,0,0
880455,1669342081,,1669343361,VTBD,AIQ3030 ,,,23995,1079,0,0
88816a,1669344427,VVGL,1669345827,,HVN1235 ,12706,1699,,,0,0
87cd04,1669343100,RJTL,1669343923,RJTJ,TRIER32 ,1009,259,4717,131,0,3
7c083c,1669343044,YBAF,1669344856,,BWU     ,277,19,,,0,0
7c0f79,1669345665,,1669348024,YMMB,DCB     ,,,1762,7,0,0
7c293d,1669344700,YPPF,1669345765,YTFA,IFJ     ,565,9,20033,1653,2,1
7c52fa,1669347052,YBBN,1669348616,,QLK538D ,1126,18,,,0,0
7c7ef0,1669344422,,1669345965,YSCH,CFH21   ,,,2175,2,0,0
a41c56,1669343148,KLAX,1669346189,KSFO,DAL1224 ,1188,45,659,110,2,5
a5aa1c,1669342697,KDEN,1669343979,KLAR,SKW5017 ,4090,32,19359,1239,4,0
aca31c,1669342717,KCGS,1669346916,KCGS,GARDN3  ,1204,31,1450,61,0,6
c8222c,1669342310,NZCH,1669345282,NZCH,ZKHNV   ,823,175,981,145,1,3
0d0d86,1669343800,,1669345068,MMMX,VIV1399 ,,,1316,96,0,1
71c098,1669343231,RKSS,1669345221,,TWB9701 ,251,2,,,2,0
7583d1,1669343168,RPLL,1669344624,,CEB196  ,613,0,,,1,0
780b1d,1669347680,ZGSZ,1669348284,,CSZ9879 ,4912,575,,,0,0
80058a,1669344326,VIDP,1669348575,,AIC665  ,2964,38,,,1,0
80139e,1669342514,VIDP,1669346827,,VTI943  ,3255,31,,,1,0
86e184,1669341766,RJCJ,1669344839,,ANA1182 ,1698,293,,,1,0
7c6693,1669345156,,1669346364,YPPF,UJP     ,,,463,9,0,4
7c7cd2,1669344906,YSSY,1669348221,YBCG,JST414  ,1868,6,6124,275,0,2
8a0261,1669344216,,1669347970,,LNI204  ,,,,,0,0
a7133f,1669342420,KATL,1669345961,KTPA,DAL488  ,1136,68,1525,30,1,7
a82dbd,1669344984,KPHX,1669347494,KLAS,NKS1733 ,623,79,1365,177,1,4
a9e6df,1669342338,,1669343513,KMIA,AAL1532 ,,,2192,28,0,5
ab766a,1669342283,KATL,1669346077,KCMH,DAL453  ,2428,45,910,50,0,13
adc171,1669344840,KSUO,1669347613,KFSD,N986AC  ,8,121,3340,97,0,5
e0b0c5,1669346649,,1669348349,SAEZ,FBZ5109 ,,,2113,5,0,4
e8060b,1669345201,,1669346916,SPJC,JAP7227 ,,,10244,399,0,5
3b9bb5,1669346861,,1669348796,NTAA,FNY5433 ,,,7642,333,0,1
71c356,1669343882,RJFF,1669347778,RKSI,AAR131  ,1214,127,10989,450,0,1
8013b3,1669347708,VABM,1669348538,,SDG107  ,625,18,,,0,0
800cff,1669342899,,1669347612,VIDP,AIC444  ,,,2962,46,0,1
861e70,1669343602,,1669347313,RJTT,ANA664  ,,,6665,210,0,1
86787c,1669343072,RJFF,1669347207,RJTT,ANA248  ,1127,89,4384,80,0,1
88105a,1669346833,VTBD,1669348138,,NOK304  ,4899,500,,,0,0
7c14fb,1669346506,YTGG,1669347873,YMEN,EFH     ,13735,1043,431,55,0,3
7c2e6b,1669345205,YCEM,1669347109,YCEM,JGD     ,4084,312,3343,251,1,1
7c46eb,1669345280,YPJT,1669346198,YRTI,OAL     ,202,0,705,3,0,1
7c7bd8,1669343712,YSCB,1669346818,YMML,QJE1519 ,954,33,2599,17,0,4
8afd26,1669343269,,1669344995,,MXD2101 ,,,,,0,0
a35e4b,1669342066,,1669343496,KSRQ,N316ND  ,,,1458,13,0,4
aa73e9,1669341851,,1669344140,KOAK,SWA559  ,,,1436,109,0,5
abc035,1669345457,KBWI,1669348149,OI62,SWA2846 ,561,29,3518,2080,1,18
c00bf7,1669344861,,1669346758,,WEN3313 ,,,,,0,0
c06207,1669343141,,1669344788,CYXE,GLDE    ,,,798,14,0,2
06a061,1669345895,OMDW,1669348418,OTHH,QTR3189 ,1584,56,1071,41,0,1
71c339,1669343450,RKSI,1669348213,RJGG,JJA1602 ,7395,945,7504,262,0,0
76cda1,1669347822,,1669348678,VHHH,SIA882  ,,,3084,31,0,1
880c41,1669342352,VTBD,1669343249,,AIQ3229 ,5609,599,,,0,0
88434e,1669342185,VTBS,1669343669,,BKP119  ,2548,341,,,0,0
8965e5,1669343873,OMAA,1669344556,,WAZ7019 ,11949,1535,,,0,0
7c0631,1669344113,YSBK,1669345581,YWVA,BIB     ,334,8,2049,388,1,3
7c1687,1669342966,YPPF,1669345912,YMLD,EQH     ,534,9,27445,1943,2,1
7c0bc5,1669342188,YWOL,1669343759,YSBK,CLZ     ,5990,866,294,24,0,2
7c4877,1669341815,YSSY,1669346159,YMAY,RXA6773 ,1240,39,2237,437,0,0
